vin,bodystyle,exterior_color,fuel_type,make,mileage,model,price,trim,year
5YJYGDEE8MF193449,SUV,Pearl White Multi,Electric,Tesla,18512,Model Y,69982,Long Range,2021
5N1AZ2BJ2LN106786,SUV,Super Black,Gasoline,Nissan,63891,Murano,23866,SV,2020
1GAZGPFG8K1195142,Passenger Van,Summit White,Gasoline,Chevrolet,84269,Express 3500,38888,LT,2019
JF2SKAWC1KH585736,SUV,Horizon Blue Pearl,Gasoline,Subaru,17496,Forester,36956,Touring,2019
WP1AB2A55GLB41965,SUV,White,Gasoline,Porsche,56884,Macan,32991,S,2016
3GNKBERS6LS617251,SUV,Silver Ice Metallic,Gasoline,Chevrolet,22626,Blazer,37690,RS,2020
1G6DU5RK8M0143682,Sedan,Black Raven,Gasoline,Cadillac,10145,CT5,49000,Sport AWD,2021
1GT49REY5MF228735,Pickup Truck,Onyx Black,Diesel,GMC,18335,Sierra 2500,95950,Denali,2021
5N1AR18W05C730999,SUV,Gray,Gasoline Fuel,Nissan,139000,Pathfinder,5500,SE,2005
2G61M5S39G9103224,Sedan,Gold,Gasoline,Cadillac,178000,XTS,5200,Luxury Collection,2016
2FMPK4AP9LBA09113,SUV,Black,Gasoline,Ford,19895,Edge,39928,ST,2020
1GCPTDE15H1197512,Pickup Truck,Red,Diesel,Chevrolet,91218,Colorado,34995,Z71,2017
JF2GTHSCXMH386673,SUV,Crystal Black Silica,Gasoline,Subaru,18900,Crosstrek,33485,Sport,2021
JTMN1RFV5KD521026,SUV,Midnight Black Metallic,Gasoline,Toyota,16765,RAV4,36081,Limited,2019
JM1GL1XY8J1303840,Sedan,Titanium Flash Mica,Gasoline,Mazda,38797,Mazda6,29000,Signature,2018
JM1DKFD72G0135481,SUV,Jet Black Mica,Gasoline,Mazda,65237,CX-3,19000,Grand Touring,2016
2T3F1RFV7LC112519,SUV,Silver,Gasoline,Toyota,10465,RAV4,31964,LE,2020
WA1ANAFY8K2142882,SUV,Brilliant Black,Gasoline,Audi,16475,Q5,36700,2.0T Premium,2019
2LMPJ6LR2HBL40706,SUV,Palladium White Gold Metallic,Gasoline,Lincoln,19806,MKX,30400,Reserve,2017
WP1AB2A55GLB42758,SUV,NULL,Gasoline,Porsche,52072,Macan,37881,S,2016
